name,short_name,code,JPN_expression,Elector_2016,D_Primary,D_Time,R_Primary,R_Time,2012_Obama_D,2012_Romney_R,2012_Dwin,2012_Rwin,2008_Obama _D,2012_Mcain_R,2008_Dwin,2008_Rwin,2004_Kerry_D,2004_Bush_R,2004_Dwin,2004_Rwin,2000_Gore_D,2000_Bush_R,2000_Dwin,2000_Rwin,1996_Clinton_D,1996_Dole_R,1996_Dwin,1996_Rwin,1992_Clinton_D,1992_Bush_R,1992_Dwin,1992_Rwin,Total_Dwin,Total_Rwin,,,,,,,,,
New Jersey,NJ,34,ニュージャージー,14,Clinton,2016/6/7,Trump,2016/6/7,14,,1,0,15,,1,0,15,,1,0,15,,1,0,15,,1,0,15,,1,0,6,0,,,,,,,,,
New Mexico,NM,35,ニューメキシコ,5,Clinton,2016/6/7,Trump,2016/6/7,5,,1,0,5,,1,0,,5,0,1,5,,1,0,5,,1,0,5,,1,0,5,1,,,,,,,,,
New York,NY,36,ニューヨーク,29,Clinton,2016/4/19,Trump,2016/4/19,29,,1,0,31,,1,0,31,,1,0,33,,1,0,33,,1,0,33,,1,0,6,0,,,,,,,,,
North Carolina,NC,37,ノースカロライナ,15,Clinton,2016/3/15,Trump,2016/3/15,,15,0,1,15,,1,0,,15,0,1,,14,0,1,,14,0,1,,14,0,1,1,5,,,,,,,,,
North Dakota,ND,38,ノースダコタ,3,Sanders,2016/6/7,not yet,,,3,0,1,,3,0,1,,3,0,1,,3,0,1,,3,0,1,,3,0,1,0,6,,,,,,,,,
Ohio,OH,39,オハイオ,18,Clinton,2016/3/15,Kasich,2016/3/15,18,,1,0,20,,1,0,,20,0,1,,21,0,1,21,,1,0,21,,1,0,4,2,,,,,,,,,
Oklahoma,OK,40,オクラホマ,7,Sanders,2016/3/1,Cruz,2016/3/1,,7,0,1,,7,0,1,,7,0,1,,8,0,1,,8,0,1,,8,0,1,0,6,,,,,,,,,
Oregon,OR,41,オレゴン,7,Sanders,2016/5/17,Trump,2016/5/17,7,,1,0,7,,1,0,7,,1,0,7,,1,0,7,,1,0,7,,1,0,6,0,,,,,,,,,
Pennsylvania,PA,42,ペンシルベニア,20,Clinton,2016/4/26,Trump,2016/4/26,20,,1,0,21,,1,0,21,,1,0,23,,1,0,23,,1,0,23,,1,0,6,0,,,,,,,,,
Rhode Island,RI,44,ロードアイランド,4,Sanders,2016/4/26,Trump,2016/4/26,4,,1,0,4,,1,0,4,,1,0,4,,1,0,4,,1,0,4,,1,0,6,0,,,,,,,,,
South Carolina,SC,45,サウスカロライナ,9,Clinton,2016/2/27,Trump,2016/2/20,,9,0,1,,8,0,1,,8,0,1,,8,0,1,,8,0,1,,8,0,1,0,6,,,,,,,,,
South Dakota,SD,46,サウスダコタ,3,Clinton,2016/6/7,Trump,2016/6/7,,3,0,1,,3,0,1,,3,0,1,,3,0,1,,3,0,1,,3,0,1,0,6,,,,,,,,,
Tennessee,TN,47,テネシー,11,Clinton,2016/3/1,Trump,2016/3/1,,11,0,1,,11,0,1,,11,0,1,,11,0,1,11,,1,0,11,,1,0,2,4,,,,,,,,,
Texas,TX,48,テキサス,38,Clinton,2016/3/1,Cruz,2016/3/1,,38,0,1,,34,0,1,,34,0,1,,32,0,1,,32,0,1,,32,0,1,0,6,,,,,,,,,
Utah,UT,49,ユタ,6,Sanders,2016/3/22,Cruz,2016/3/22,,6,0,1,,5,0,1,,5,0,1,,5,0,1,,5,0,1,,5,0,1,0,6,,,,,,,,,
Vermont,VT,50,バーモント,3,Sanders,2016/3/1,Trump,2016/3/1,3,,1,0,3,,1,0,3,,1,0,3,,1,0,3,,1,0,3,,1,0,6,0,,,,,,,,,
Virginia,VA,51,バージニア,13,Clinton,2016/3/1,Trump,2016/3/1,13,,1,0,13,,1,0,,13,0,1,,13,0,1,,13,0,1,,13,0,1,2,4,,,,,,,,,
Washington,WA,53,ワシントン,12,Sanders,2016/3/26,Trump,2016/5/24,12,,1,0,11,,1,0,11,,1,0,11,,1,0,11,,1,0,11,,1,0,6,0,,,,,,,,,
West Virginia,WV,54,ウエストバージニア,5,Sanders,2016/5/10,Trump,2016/5/10,,5,0,1,,5,0,1,,5,0,1,,5,0,1,5,,1,0,5,,1,0,2,4,,,,,,,,,
Wisconsin,WI,55,ウィスコンシン,10,Sanders,2016/4/5,Cruz,2016/4/5,10,,1,0,10,,1,0,10,,1,0,11,,1,0,11,,1,0,11,,1,0,6,0,,,,,,,,,
Wyoming,WY,56,ワイオミング,3,Sanders,2016/4/9,Cruz,2016/3/12,,3,0,1,,3,0,1,,3,0,1,,3,0,1,,3,0,1,,3,0,1,0,6,,,,,,,,,
